2024-02-24 08:38:57,236 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.049852942835058194, 'Round Trip Time (s)': 0.012625122655664463, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,236 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.015347988136128081, 'Round Trip Time (s)': 0.047130077354594575, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,236 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.0301045730851926, 'Round Trip Time (s)': 0.03237349240553006, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,236 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.023690259017308583, 'Round Trip Time (s)': 0.03878780647341407, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,236 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.0496023821852552, 'Round Trip Time (s)': 0.012875683305467456, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,236 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.326759124811, 'Transmission Delay (s)': 0.06255841255187988, 'Propagation Delay (s)': 0.04423412848837877, 'Round Trip Time (s)': 0.018243937002343884, 'End-to-End Delay (s)': 0.12503647804260254}
2024-02-24 08:38:57,359 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.024513571656299762, 'Round Trip Time (s)': 0.03581109722797758, 'End-to-End Delay (s)': 0.12281346321105957}
2024-02-24 08:38:57,359 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.04304838818694576, 'Round Trip Time (s)': 0.017276280697331586, 'End-to-End Delay (s)': 0.12281346321105957}
2024-02-24 08:38:57,359 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.04984807184480797, 'Round Trip Time (s)': 0.010476597039469376, 'End-to-End Delay (s)': 0.12281346321105957}
2024-02-24 08:38:57,359 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.013949908302218823, 'Round Trip Time (s)': 0.04637476058205852, 'End-to-End Delay (s)': 0.12281346321105957}
2024-02-24 08:38:57,359 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.01701205228651597, 'Round Trip Time (s)': 0.04331261659776137, 'End-to-End Delay (s)': 0.12281346321105957}
2024-02-24 08:38:57,359 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1792.3213466769937, 'Transmission Delay (s)': 0.06248879432678223, 'Propagation Delay (s)': 0.03921141539665419, 'Round Trip Time (s)': 0.021113253487623156, 'End-to-End Delay (s)': 0.12281346321105957}
